Title,Topic,Excerpt,Summary,Label
Classroom robot helps keep kids with learning disabilities on track,news,"Students with learning disabilities (LD) struggle with particular skills like reading, writing, or mathematics and often require additional, individualized support to fill educational gaps. A team of…","Students with learning disabilities (LD) struggle with particular skills like reading, writing, or mathematics and often require additional, individualized support to fill educational gaps. A team of researchers and experts has found that a cute little robot may help children with learning disabilities stay focused.
Learning disabilities cause students to be prone to distraction, meaning that they can struggle to stay focused on a task, become fidgety, and refuse to complete work. One-on-one interventions have been shown to benefit students with LD.",Education
NatWest Rooster Money CEO on Making Money ‘Tangible' for Cash-Free Kids,news,"Will Carmichael, CEO at NatWest Rooster Money, tells PYMNTS that as it is harder to make money ‘tangible' for kids growing up in cashless societies.","Making financial decisions is part of everyday life, and that means being financially literate is not just a nice to have, but a core life skill for any individual.


And it needs to start right from childhood, 
Will Carmichael
, CEO at U.K.-based FinTech firm 
NatWest Rooster Money
, told PYMNTS, giving kids and young people a good head start on their journey to financial independence.


'Research shows that we form a lot of money habits by the age of 7, and actually as adults, around 40% of what we do day to day is put down to habit,' Carmichael said in an interview.",In Society
"Proposed age verification bills across US online privacy, anonymity debate",news,More than 20 state legislatures have proposed bills aimed at introducing age verification for social media and adult content websites.,"Moves by some state houses of representatives in the United States to put in place laws that restrict access to social media and adult content sites by children are sparking a debate over online privacy and anonymity.


Bloomberg Law in a 
report
 notes that more than 20 state legislatures in the country have proposed bills which are at different levels all aimed at introducing age verification for social media and adult content websites access and the reaction from some stakeholders has been varied.",In Society
'Take It Down': New tool allows teens to remove explicit images,news,"A new online tool aims to give some control back to teens, or people who were once teens, and take down explicit images and videos of themselves from the internet.","ah yeah, you know me, I show you apps all the time. I find new ones that look interesting. We try them out together. But this time something *** little different. It's more personal for me this time because I'm gonna show you *** few safety apps that I use every day myself with my own kids. These are the apps that help me monitor their screen time. What exactly are they doing on social media? What apps are they using? And these apps also keep them safe when they leave the house. I hope this helps you.",Parenting
Tik Tok Parents Get Backlash For Posting Disney Height Rule Hack,news,Some parents who are pretty well known for posting their life hacks on Tik Tok are in a bit of hot water after suggesting that they make their young son wear lifts in his shoes in order to make him tall enough for the rides at Disney.,"Some parents who are pretty well known for posting their life hacks on Tik Tok are in a bit of hot water after suggesting that they make their young son wear lifts in his shoes in order to make him tall enough for the rides at Disney. Those rules are definitely there for safety reasons so people feel like they're putting their kid in danger by trying to skirt the rules.

Of course in true internet fashion it turns out that the kid was tall enough to get on the rides anyway and that the parents were doing all of this purely for internet clout.",Parenting
"'Parents beware,' police warn about latest Tik Tok 'Flash Challenge'",news,Officers think a social media trend could hurt children for years to come.,"MIAMI - Miami Police recorded a podcast warning for parents. Officers think a social media trend could hurt children for years to come.

It is called the ""Closet Challenge"" or ""Flash Challenge,"" officers Nicholas Perez and Rafael Horta said in their podcast released Thursday.

""It's so new they have different names for it,"" the officers said in their podcast. ""Usually typically females are flashing their chest to the camera in conspicuous ways through a reflection of a TV, through a reflection of a spoon.",In Society
Daughter's viral TikTok helps her dad's book become a first-time bestseller,news,"A TikTok video boosts book sales after one daughter posts about her dad's published novel. ""Stone Maidens"" is now selling better than ever before. Category : Viral & Trending, What To Read","Thanks to a viral TikTok video posted by his daughter, author Lloyd Devereux Richards' book just became a bestseller more than a decade after it was first published. 
 
Richards spent 14 years working on his passion project, a thriller novel, while also keeping up with the demands of his corporate job and raising three kids. When he published his first book, '
Stone Maidens
,' in 2012 he only received modest sales. Now, one viral video has changed all of that. 
 
 
The video starts with the text, 'My dad spent 14 years writing a book,' and shows snippets of Richards hard at work in his home office.",In Society
Woman Whose Child Was Adopted 11 Years Ago Faces Backlash For Posting A Video To Try & Find Her On Her Birthday,news,One Birth Mom Is Trying To Reconnect With Her Child Lost To A Closed Adoption,"A TikTok user's heartbreaking way of honor her child's birthday received an unexpectedly harsh response after her video documenting the day went viral.
Abby Fred (@abbyfred) posted a heartfelt video explaining her story as a mom whose daughter was adopted and then cut off from her.
Abby explains that when she was 18 years old she gave her daughter, Ellie, up for an open adoption where she would be allowed to visit and connect with her child.
Unfortunately, a few weeks after taking the child in, the adoptive family closed the adoption on the birth parents, restricting their ability to contact the child at all.",Parenting
"'Libs of TikTok' creator, Chaya Raichik, now helping families to 'spot predatory behavior'",news,"'Libs of TikTok' creator, Chaya Raichik, now helping families to 'spot predatory behavior'","'Libs of TikTok' creator, Chaya Raichik, now helping families to 'spot predatory behavior'
Chaya Raichik, creator of Libs of TikTok, a social media site with some two million followers, is coming out with an illustrated children's book called 'No More Secrets.'
parents and children a tool that they can use to actually be able to spot predatory behavior,"" she said in a statement shared with Digital by her publisher, Brave Books.These authors are using ChatGPT to write books and sell them on Amazon Chaya Raichik, the founder of the anti-woke social media account 'Libs of TikTok,' is publishing her first kid's book next month.",In Society
What's the Reason Behind China's Exclusion from the Global Tik Tok Craze?,news,"There is no doubt that the TikTok platform, which has become the most popular in the world, is not like that in China, in how much the country of a billion depends on another application that offers a less harmful product and is designed to protect its youth. In detail, a new technical report, citing […]","There is no doubt that the TikTok platform, which has become the most popular in the world, is not like that in China, in how much the country of a billion depends on another application that offers a less harmful product and is designed to protect its youth.

In detail, a new technical report, citing specialists from the US Department of Defense, says that the TikTok platform, which penetrates the devices of young people and teenagers, does not in China, in How much questThe latest adopts a local version of another application called Douyin and has its own laws to protect users.",In Society
Dove and the Butterfly Foundation join forces to #DetoxYourFeed,news,"Dove has partnered with the Butterfly Foundation to combat toxic social media trends affecting young girls' self esteem, with ambassador Melissa Doyle encouraging girls to #DetoxYourFeed. The…","Dove has partnered with the Butterfly Foundation to combat toxic social media trends affecting young girls' self esteem, with ambassador Melissa Doyle encouraging girls to #DetoxYourFeed.
New research from the Dove Self-Esteem Project has revealed the startling impact of idealised beauty content on social media, with almost half (46%) of young girls in Australia admitting they have undertaken at least one beauty procedure, such as tanning (19%), teeth whitening (20%), and eyelash extensions (15%) as a result of toxic influencer advice.",In Society
Social media: Mental health looped with false advertising by Amina Zara Khatun EGLA,science,"Although there are many benefits to utilising social media for certain things such as communication between friends and families, there is a very…","Social media: Mental health looped with false advertising by Amina Zara Khatun EGLA 
(Image: Unsplash)
 
 
 
 
 
 
 
 Although there are many benefits to utilising social media for certain things such as communication between friends and families, there is a very harmful side to it which may go unnoticeable  most times.

 


 Reports have shown that 59% of society is accessing social media which includes young kids, and it is estimated that 4.62 billion social media users are located around the world.",In Society
Teens turning to TikTok for mental health advice are self-diagnosing,news,A California psychology professor has gained a million followers on TikTok by debunking 'wellness' advice that could do more harm than good.,"It's a relatable feeling. You're feeling unwell, have multiple symptoms, and you decide to Google what might ail you. Sometimes doom takes hold and you self-diagnose with the worst-case scenario. But it's not just physical ailments. CBS News found that as the mental health crisis among American teens deepens, they seek out alternative forms of support and information. Increasingly young people turn to social media platforms like TikTok and diagnose themselves with serious mental health problems.
With qualified therapists expensive and increasingly hard to find many young people search for answers on social media platforms where the answers are abundant and free but not necessarily accurate.",In Society
